Indicator_Name,Unit,Baseline_Year,Baseline_Value,Latest_Year,Latest_Value,Target_Year,Target_Value,Education_Level,Region,Total_Pop,Not_Literate_Count,Literacy_Rate,Context_ID,Context_Name,Context_Description,Implementation_Gap,Year
Increased Enrolment,NER,2019,33.7,2022,56.3,2026,45,Second Cycle Education (SHS),North East,522717,334882,35.93,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,-11.3,2026
Increased Enrolment,NER,2019,33.7,2022,56.3,2026,45,Second Cycle Education (SHS),Upper East,1097541,569773,48.09,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,-11.3,2026
Increased Enrolment,NER,2019,33.7,2022,56.3,2026,45,Second Cycle Education (SHS),Upper West,754267,407067,46.03,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,-11.3,2026
Increased Enrolment,Enrolment,2019,59583,2022,70978,2026,190000,Second Cycle Education (TVET),Western,1764583,483403,72.61,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,119022,2026
Increased Enrolment,Enrolment,2019,59583,2022,70978,2026,190000,Second Cycle Education (TVET),Central,2452182,607309,75.23,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,119022,2026
Increased Enrolment,Enrolment,2019,59583,2022,70978,2026,190000,Second Cycle Education (TVET),Greater Accra,4766249,575253,87.93,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,119022,2026
Increased Enrolment,Enrolment,2019,59583,2022,70978,2026,190000,Second Cycle Education (TVET),Volta,1433518,416834,70.92,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,119022,2026
Increased Enrolment,Enrolment,2019,59583,2022,70978,2026,190000,Second Cycle Education (TVET),Eastern,2526584,614412,75.68,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,119022,2026
Increased Enrolment,Enrolment,2019,59583,2022,70978,2026,190000,Second Cycle Education (TVET),Ashanti,4657976,1024866,78,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,119022,2026
Increased Enrolment,Enrolment,2019,59583,2022,70978,2026,190000,Second Cycle Education (TVET),Western North,749168,278554,62.82,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,119022,2026
Increased Enrolment,Enrolment,2019,59583,2022,70978,2026,190000,Second Cycle Education (TVET),Ahafo,480708,151082,68.57,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,119022,2026
Increased Enrolment,Enrolment,2019,59583,2022,70978,2026,190000,Second Cycle Education (TVET),Bono,1036053,295287,71.5,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,119022,2026
Increased Enrolment,Enrolment,2019,59583,2022,70978,2026,190000,Second Cycle Education (TVET),Bono East,1002548,437682,56.34,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,119022,2026
Increased Enrolment,Enrolment,2019,59583,2022,70978,2026,190000,Second Cycle Education (TVET),Oti,616851,304749,50.6,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,119022,2026
Increased Enrolment,Enrolment,2019,59583,2022,70978,2026,190000,Second Cycle Education (TVET),Northern,1828512,1072926,41.32,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,119022,2026
Increased Enrolment,Enrolment,2019,59583,2022,70978,2026,190000,Second Cycle Education (TVET),Savannah,521415,350330,32.81,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,119022,2026
Increased Enrolment,Enrolment,2019,59583,2022,70978,2026,190000,Second Cycle Education (TVET),North East,522717,334882,35.93,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,119022,2026
Increased Enrolment,Enrolment,2019,59583,2022,70978,2026,190000,Second Cycle Education (TVET),Upper East,1097541,569773,48.09,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,119022,2026
Increased Enrolment,Enrolment,2019,59583,2022,70978,2026,190000,Second Cycle Education (TVET),Upper West,754267,407067,46.03,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,119022,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,2927,2022,3387,2026,5650,Second Cycle Education (TVET),Western,1764583,483403,72.61,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,2263,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,2927,2022,3387,2026,5650,Second Cycle Education (TVET),Central,2452182,607309,75.23,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,2263,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,2927,2022,3387,2026,5650,Second Cycle Education (TVET),Greater Accra,4766249,575253,87.93,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,2263,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,2927,2022,3387,2026,5650,Second Cycle Education (TVET),Volta,1433518,416834,70.92,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,2263,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,2927,2022,3387,2026,5650,Second Cycle Education (TVET),Eastern,2526584,614412,75.68,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,2263,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,2927,2022,3387,2026,5650,Second Cycle Education (TVET),Ashanti,4657976,1024866,78,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,2263,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,2927,2022,3387,2026,5650,Second Cycle Education (TVET),Western North,749168,278554,62.82,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,2263,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,2927,2022,3387,2026,5650,Second Cycle Education (TVET),Ahafo,480708,151082,68.57,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,2263,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,2927,2022,3387,2026,5650,Second Cycle Education (TVET),Bono,1036053,295287,71.5,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,2263,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,2927,2022,3387,2026,5650,Second Cycle Education (TVET),Bono East,1002548,437682,56.34,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,2263,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,2927,2022,3387,2026,5650,Second Cycle Education (TVET),Oti,616851,304749,50.6,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,2263,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,2927,2022,3387,2026,5650,Second Cycle Education (TVET),Northern,1828512,1072926,41.32,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,2263,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,2927,2022,3387,2026,5650,Second Cycle Education (TVET),Savannah,521415,350330,32.81,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,2263,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,2927,2022,3387,2026,5650,Second Cycle Education (TVET),North East,522717,334882,35.93,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,2263,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,2927,2022,3387,2026,5650,Second Cycle Education (TVET),Upper East,1097541,569773,48.09,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,2263,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,2927,2022,3387,2026,5650,Second Cycle Education (TVET),Upper West,754267,407067,46.03,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,2263,2026
Increased functional literacy rate,Number of Classes,2019,2610,2022,1449,2026,2592,Non-formal Education,Western,1764583,483403,72.61,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,1143,2026
Increased functional literacy rate,Number of Classes,2019,2610,2022,1449,2026,2592,Non-formal Education,Central,2452182,607309,75.23,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,1143,2026
Increased functional literacy rate,Number of Classes,2019,2610,2022,1449,2026,2592,Non-formal Education,Greater Accra,4766249,575253,87.93,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,1143,2026
Increased functional literacy rate,Number of Classes,2019,2610,2022,1449,2026,2592,Non-formal Education,Volta,1433518,416834,70.92,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,1143,2026
Increased functional literacy rate,Number of Classes,2019,2610,2022,1449,2026,2592,Non-formal Education,Eastern,2526584,614412,75.68,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,1143,2026
Increased functional literacy rate,Number of Classes,2019,2610,2022,1449,2026,2592,Non-formal Education,Ashanti,4657976,1024866,78,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,1143,2026
Increased functional literacy rate,Number of Classes,2019,2610,2022,1449,2026,2592,Non-formal Education,Western North,749168,278554,62.82,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,1143,2026
Increased functional literacy rate,Number of Classes,2019,2610,2022,1449,2026,2592,Non-formal Education,Ahafo,480708,151082,68.57,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,1143,2026
Increased functional literacy rate,Number of Classes,2019,2610,2022,1449,2026,2592,Non-formal Education,Bono,1036053,295287,71.5,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,1143,2026
Increased functional literacy rate,Number of Classes,2019,2610,2022,1449,2026,2592,Non-formal Education,Bono East,1002548,437682,56.34,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,1143,2026
Increased functional literacy rate,Number of Classes,2019,2610,2022,1449,2026,2592,Non-formal Education,Oti,616851,304749,50.6,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,1143,2026
Increased functional literacy rate,Number of Classes,2019,2610,2022,1449,2026,2592,Non-formal Education,Northern,1828512,1072926,41.32,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,1143,2026
Increased functional literacy rate,Number of Classes,2019,2610,2022,1449,2026,2592,Non-formal Education,Savannah,521415,350330,32.81,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,1143,2026
Increased functional literacy rate,Number of Classes,2019,2610,2022,1449,2026,2592,Non-formal Education,North East,522717,334882,35.93,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,1143,2026
Increased functional literacy rate,Number of Classes,2019,2610,2022,1449,2026,2592,Non-formal Education,Upper East,1097541,569773,48.09,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,1143,2026
Increased functional literacy rate,Number of Classes,2019,2610,2022,1449,2026,2592,Non-formal Education,Upper West,754267,407067,46.03,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,1143,2026
Increased Enrolment,Number of pupils,2019,7535,2022,7916,2026,8960,Inclusive and Special Education,Western,1764583,483403,72.61,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,1044,2026
Increased Enrolment,Number of pupils,2019,7535,2022,7916,2026,8960,Inclusive and Special Education,Central,2452182,607309,75.23,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,1044,2026
Increased Enrolment,Number of pupils,2019,7535,2022,7916,2026,8960,Inclusive and Special Education,Greater Accra,4766249,575253,87.93,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,1044,2026
Increased Enrolment,Number of pupils,2019,7535,2022,7916,2026,8960,Inclusive and Special Education,Volta,1433518,416834,70.92,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,1044,2026
Increased Enrolment,Number of pupils,2019,7535,2022,7916,2026,8960,Inclusive and Special Education,Eastern,2526584,614412,75.68,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,1044,2026
Increased Enrolment,Number of pupils,2019,7535,2022,7916,2026,8960,Inclusive and Special Education,Ashanti,4657976,1024866,78,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,1044,2026
Increased Enrolment,Number of pupils,2019,7535,2022,7916,2026,8960,Inclusive and Special Education,Western North,749168,278554,62.82,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,1044,2026
Increased Enrolment,Number of pupils,2019,7535,2022,7916,2026,8960,Inclusive and Special Education,Ahafo,480708,151082,68.57,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,1044,2026
Increased Enrolment,Number of pupils,2019,7535,2022,7916,2026,8960,Inclusive and Special Education,Bono,1036053,295287,71.5,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,1044,2026
Increased Enrolment,Number of pupils,2019,7535,2022,7916,2026,8960,Inclusive and Special Education,Bono East,1002548,437682,56.34,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,1044,2026
Increased Enrolment,Number of pupils,2019,7535,2022,7916,2026,8960,Inclusive and Special Education,Oti,616851,304749,50.6,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,1044,2026
Increased Enrolment,Number of pupils,2019,7535,2022,7916,2026,8960,Inclusive and Special Education,Northern,1828512,1072926,41.32,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,1044,2026
Increased Enrolment,Number of pupils,2019,7535,2022,7916,2026,8960,Inclusive and Special Education,Savannah,521415,350330,32.81,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,1044,2026
Increased Enrolment,Number of pupils,2019,7535,2022,7916,2026,8960,Inclusive and Special Education,North East,522717,334882,35.93,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,1044,2026
Increased Enrolment,Number of pupils,2019,7535,2022,7916,2026,8960,Inclusive and Special Education,Upper East,1097541,569773,48.09,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,1044,2026
Increased Enrolment,Number of pupils,2019,7535,2022,7916,2026,8960,Inclusive and Special Education,Upper West,754267,407067,46.03,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,1044,2026
Increase Tertiary Level Enrolment,GER,2019,17.38,2022,19.6,2026,25,Tertiary Education,Western,1764583,483403,72.61,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,5.4,2026
Increase Tertiary Level Enrolment,GER,2019,17.38,2022,19.6,2026,25,Tertiary Education,Central,2452182,607309,75.23,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,5.4,2026
Increase Tertiary Level Enrolment,GER,2019,17.38,2022,19.6,2026,25,Tertiary Education,Greater Accra,4766249,575253,87.93,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,5.4,2026
Increase Tertiary Level Enrolment,GER,2019,17.38,2022,19.6,2026,25,Tertiary Education,Volta,1433518,416834,70.92,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,5.4,2026
Increase Tertiary Level Enrolment,GER,2019,17.38,2022,19.6,2026,25,Tertiary Education,Eastern,2526584,614412,75.68,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,5.4,2026
Increase Tertiary Level Enrolment,GER,2019,17.38,2022,19.6,2026,25,Tertiary Education,Ashanti,4657976,1024866,78,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,5.4,2026
Increase Tertiary Level Enrolment,GER,2019,17.38,2022,19.6,2026,25,Tertiary Education,Western North,749168,278554,62.82,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,5.4,2026
Increase Tertiary Level Enrolment,GER,2019,17.38,2022,19.6,2026,25,Tertiary Education,Ahafo,480708,151082,68.57,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,5.4,2026
Increase Tertiary Level Enrolment,GER,2019,17.38,2022,19.6,2026,25,Tertiary Education,Bono,1036053,295287,71.5,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,5.4,2026
Increase Tertiary Level Enrolment,GER,2019,17.38,2022,19.6,2026,25,Tertiary Education,Bono East,1002548,437682,56.34,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,5.4,2026
Increase Tertiary Level Enrolment,GER,2019,17.38,2022,19.6,2026,25,Tertiary Education,Oti,616851,304749,50.6,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,5.4,2026
Increase Tertiary Level Enrolment,GER,2019,17.38,2022,19.6,2026,25,Tertiary Education,Northern,1828512,1072926,41.32,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,5.4,2026
Increase Tertiary Level Enrolment,GER,2019,17.38,2022,19.6,2026,25,Tertiary Education,Savannah,521415,350330,32.81,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,5.4,2026
Increase Tertiary Level Enrolment,GER,2019,17.38,2022,19.6,2026,25,Tertiary Education,North East,522717,334882,35.93,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,5.4,2026
Increase Tertiary Level Enrolment,GER,2019,17.38,2022,19.6,2026,25,Tertiary Education,Upper East,1097541,569773,48.09,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,5.4,2026
Increase Tertiary Level Enrolment,GER,2019,17.38,2022,19.6,2026,25,Tertiary Education,Upper West,754267,407067,46.03,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,5.4,2026
Increase Science / Humanities Ratio,Science / Humanities Ratio,2019,3561,2022,3961,2026,5050,Tertiary Education,Western,1764583,483403,72.61,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,1089,2026
Increase Science / Humanities Ratio,Science / Humanities Ratio,2019,3561,2022,3961,2026,5050,Tertiary Education,Central,2452182,607309,75.23,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,1089,2026
Increase Science / Humanities Ratio,Science / Humanities Ratio,2019,3561,2022,3961,2026,5050,Tertiary Education,Greater Accra,4766249,575253,87.93,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,1089,2026
Increase Science / Humanities Ratio,Science / Humanities Ratio,2019,3561,2022,3961,2026,5050,Tertiary Education,Volta,1433518,416834,70.92,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,1089,2026
Increase Science / Humanities Ratio,Science / Humanities Ratio,2019,3561,2022,3961,2026,5050,Tertiary Education,Eastern,2526584,614412,75.68,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,1089,2026
Increase Science / Humanities Ratio,Science / Humanities Ratio,2019,3561,2022,3961,2026,5050,Tertiary Education,Ashanti,4657976,1024866,78,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,1089,2026
Increase Science / Humanities Ratio,Science / Humanities Ratio,2019,3561,2022,3961,2026,5050,Tertiary Education,Western North,749168,278554,62.82,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,1089,2026
Increase Science / Humanities Ratio,Science / Humanities Ratio,2019,3561,2022,3961,2026,5050,Tertiary Education,Ahafo,480708,151082,68.57,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,1089,2026
Increase Science / Humanities Ratio,Science / Humanities Ratio,2019,3561,2022,3961,2026,5050,Tertiary Education,Bono,1036053,295287,71.5,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,1089,2026
Increase Science / Humanities Ratio,Science / Humanities Ratio,2019,3561,2022,3961,2026,5050,Tertiary Education,Bono East,1002548,437682,56.34,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,1089,2026
Increase Science / Humanities Ratio,Science / Humanities Ratio,2019,3561,2022,3961,2026,5050,Tertiary Education,Oti,616851,304749,50.6,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,1089,2026
Increase Science / Humanities Ratio,Science / Humanities Ratio,2019,3561,2022,3961,2026,5050,Tertiary Education,Northern,1828512,1072926,41.32,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,1089,2026
Increase Science / Humanities Ratio,Science / Humanities Ratio,2019,3561,2022,3961,2026,5050,Tertiary Education,Savannah,521415,350330,32.81,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,1089,2026
Increase Science / Humanities Ratio,Science / Humanities Ratio,2019,3561,2022,3961,2026,5050,Tertiary Education,North East,522717,334882,35.93,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,1089,2026
Increase Science / Humanities Ratio,Science / Humanities Ratio,2019,3561,2022,3961,2026,5050,Tertiary Education,Upper East,1097541,569773,48.09,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,1089,2026
Increase Science / Humanities Ratio,Science / Humanities Ratio,2019,3561,2022,3961,2026,5050,Tertiary Education,Upper West,754267,407067,46.03,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,1089,2026
Increase % of Female Enrolment,Gender Parity,2019,0.81,2022,0.93,2026,1,Tertiary Education,Western,1764583,483403,72.61,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,0.07,2026
Increase % of Female Enrolment,Gender Parity,2019,0.81,2022,0.93,2026,1,Tertiary Education,Central,2452182,607309,75.23,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,0.07,2026
Increase % of Female Enrolment,Gender Parity,2019,0.81,2022,0.93,2026,1,Tertiary Education,Greater Accra,4766249,575253,87.93,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,0.07,2026
Increase % of Female Enrolment,Gender Parity,2019,0.81,2022,0.93,2026,1,Tertiary Education,Volta,1433518,416834,70.92,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,0.07,2026
Increase % of Female Enrolment,Gender Parity,2019,0.81,2022,0.93,2026,1,Tertiary Education,Eastern,2526584,614412,75.68,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,0.07,2026
Increase % of Female Enrolment,Gender Parity,2019,0.81,2022,0.93,2026,1,Tertiary Education,Ashanti,4657976,1024866,78,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,0.07,2026
Increase % of Female Enrolment,Gender Parity,2019,0.81,2022,0.93,2026,1,Tertiary Education,Western North,749168,278554,62.82,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,0.07,2026
Increase % of Female Enrolment,Gender Parity,2019,0.81,2022,0.93,2026,1,Tertiary Education,Ahafo,480708,151082,68.57,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,0.07,2026
Increase % of Female Enrolment,Gender Parity,2019,0.81,2022,0.93,2026,1,Tertiary Education,Bono,1036053,295287,71.5,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,0.07,2026
Increase % of Female Enrolment,Gender Parity,2019,0.81,2022,0.93,2026,1,Tertiary Education,Bono East,1002548,437682,56.34,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,0.07,2026
Increase % of Female Enrolment,Gender Parity,2019,0.81,2022,0.93,2026,1,Tertiary Education,Oti,616851,304749,50.6,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,0.07,2026
Increase % of Female Enrolment,Gender Parity,2019,0.81,2022,0.93,2026,1,Tertiary Education,Northern,1828512,1072926,41.32,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,0.07,2026
Increase % of Female Enrolment,Gender Parity,2019,0.81,2022,0.93,2026,1,Tertiary Education,Savannah,521415,350330,32.81,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,0.07,2026
Increase % of Female Enrolment,Gender Parity,2019,0.81,2022,0.93,2026,1,Tertiary Education,North East,522717,334882,35.93,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,0.07,2026
Increase % of Female Enrolment,Gender Parity,2019,0.81,2022,0.93,2026,1,Tertiary Education,Upper East,1097541,569773,48.09,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,0.07,2026
Increase % of Female Enrolment,Gender Parity,2019,0.81,2022,0.93,2026,1,Tertiary Education,Upper West,754267,407067,46.03,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,0.07,2026
